title,author,publisher,publication_date,discount,price,url
人生的身段：堅毅慈心唐美雲 (電子書),唐美雲,圓神,2019-07-01,,238,https://www.books.com.tw/products/E050048891?loc=P_0005_059
狗狗的旅程【電影書衣版.《為了與你相遇》暖心續作】,布魯斯．卡麥隆,圓神,2019-05-01,9,315,https://www.books.com.tw/products/0010819476?loc=P_0005_060
狗狗的旅程【電影書衣版.《為了與你相遇》暖心續作】 (電子書),布魯斯．卡麥隆,圓神,2019-05-01,,245,https://www.books.com.tw/products/E050043483?loc=P_0005_061
人間條件6：未來的主人翁 (附完整版DVD),"吳念真,綠光劇團",圓神,2019-04-01,9,539,https://www.books.com.tw/products/0010816795?loc=P_0005_062
你比你想的更勇敢,女王,圓神,2019-03-01,79,316,https://www.books.com.tw/products/0010814248?loc=P_0005_063
閃亮亮共和國【山茶花文具店，幸福續作】,小川糸,圓神,2019-03-01,79,284,https://www.books.com.tw/products/0010814274?loc=P_0005_064
念念時光真味,吳念真,圓神,2019-02-01,9,306,https://www.books.com.tw/products/0010811268?loc=P_0005_065
劍魂如初2：山河如故,懷觀,圓神,2019-02-01,9,288,https://www.books.com.tw/products/0010811322?loc=P_0005_066
念念時光真味 (電子書),吳念真,圓神,2019-02-01,,238,https://www.books.com.tw/products/E050038661?loc=P_0005_067
劍魂如初2：山河如故 (電子書),懷觀,圓神,2019-02-01,,224,https://www.books.com.tw/products/E050038662?loc=P_0005_068
寂寞博物館：20段名畫旅程，收留你說不出口的憂傷,謝哲青,圓神,2019-01-04,79,339,https://www.books.com.tw/products/0010808924?loc=P_0005_069
愛的連鎖殺意,鄭華娟,圓神,2019-01-01,9,234,https://www.books.com.tw/products/0010808816?loc=P_0005_070
歐遊情書：因為太美，一定要說給你聽的風景 (電子書),謝哲青,圓神,2019-01-01,,224,https://www.books.com.tw/products/E050037388?loc=P_0005_071
一點一點流光(中西兩翻雙書封設計),洪丹,圓神,2018-12-01,9,288,https://www.books.com.tw/products/0010805686?loc=P_0005_072
叛逆有理、獨立無罪：掙脫以愛為名的親情綑綁,陳志恆,圓神,2018-12-01,66,184,https://www.books.com.tw/products/0010805742?loc=P_0005_073
一點一點流光 (電子書),洪丹,圓神,2018-12-01,,224,https://www.books.com.tw/products/E050036367?loc=P_0005_074
叛逆有理、獨立無罪：掙脫以愛為名的親情綑綁 (電子書),陳志恆,圓神,2018-12-01,,196,https://www.books.com.tw/products/E050036368?loc=P_0005_075
舞初心：曹金鈴返璞收圓的人生,曹金鈴,圓神,2018-11-01,9,288,https://www.books.com.tw/products/0010802222?loc=P_0005_076
舞初心：曹金鈴返璞收圓的人生 (電子書),曹金鈴,圓神,2018-11-01,,224,https://www.books.com.tw/products/E050034977?loc=P_0005_077
出發‧Run for Dream,陳彥博,圓神,2018-10-08,9,342,https://www.books.com.tw/products/0010800526?loc=P_0005_078
出發‧Run for Dream (電子書),陳彥博,圓神,2018-10-08,,266,https://www.books.com.tw/products/E050033483?loc=P_0005_079
台客劇場的人生實驗室,林冠廷,圓神,2018-09-01,9,315,https://www.books.com.tw/products/0010796886?loc=P_0005_080
劍魂如初【附全新獨家番外】 (電子書),懷觀,圓神,2018-08-03,,231,https://www.books.com.tw/products/E050031256?loc=P_0005_081
劍魂如初【限量珍藏雙面書衣版】,懷觀,圓神,2018-08-01,9,297,https://www.books.com.tw/products/0010793348?loc=P_0005_082
我媽的異國婚姻【NETFLIX戲劇「媽，別鬧了!」原著小說】 (電子書),陳名珉,圓神,2018-06-01,,210,https://www.books.com.tw/products/E050028690?loc=P_0005_083
【媽，別鬧了!戲劇原著小說】我媽的異國婚姻,陳名珉,圓神,2018-06-01,79,237,https://www.books.com.tw/products/0010787447?loc=P_0005_084
暗室裡的光：勵馨走過三十年,"勵馨基金會,趙慧琳",圓神,2018-05-01,9,270,https://www.books.com.tw/products/0010784548?loc=P_0005_085
繆思的聲音：當代世界女性詩,李敏勇,圓神,2018-05-01,9,306,https://www.books.com.tw/products/0010784551?loc=P_0005_086
